date,modality,sample_id,position_id,observation,approximate_location,source_note,record_scope
260824,SAM,0,1,染みとごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,0,4,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,0,5,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,0,6,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,0,7,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,0,8,染みとごみ（クソでかいごみあり）,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,3,4,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,3,6,染み（他より大きめ）,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,3,7,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,3,8,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,4,1,ちょっと染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,4,2,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,4,5,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,4,6,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,8,1,染みとごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,8,5,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,8,7,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,8,8,ごみと染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,10,2,ごみと染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,10,4,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,10,6,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,10,8,染みとごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,11,1,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,11,2,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,11,3,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,11,4,傷,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,12,8,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,13,4,ごみ,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,14,1,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260824,SAM,14,6,染み,,260824_pillar50nm_SAM吸着とDNAハイブリ再挑戦.md,view
260825,DNA,0,7,ちょっとシミ,,260825_p50_dnaハイブリ.md,view
260825,DNA,4,1,ごみ,,260825_p50_dnaハイブリ.md,view
260825,DNA,4,2,でかいシミ,,260825_p50_dnaハイブリ.md,view
260825,DNA,4,4,大きめのシミ,,260825_p50_dnaハイブリ.md,view
260825,DNA,4,7,ちょっとごみ,,260825_p50_dnaハイブリ.md,view
260825,DNA,5,1,デザインナイフの傷に対して垂直にちょっと傷,,260825_p50_dnaハイブリ.md,view
260825,DNA,5,4,シミがあるような感じ,左下,260825_p50_dnaハイブリ.md,view
260825,DNA,5,8,同様にちょっと傷,,260825_p50_dnaハイブリ.md,view
260825,DNA,6,3,ちょっとごみついてるかも,,260825_p50_dnaハイブリ.md,view
260825,DNA,6,8,ちょっとしみ込む感じ,,260825_p50_dnaハイブリ.md,view
260825,DNA,7,8,本当にでかいシミがある（除外候補）,,260825_p50_dnaハイブリ.md,view
260825,DNA,8,3,ごみついてる,,260825_p50_dnaハイブリ.md,view
260825,DNA,8,6,ポロポロごみついてる,,260825_p50_dnaハイブリ.md,view
260825,DNA,8,7,ポロポロごみついてる,,260825_p50_dnaハイブリ.md,view
260825,DNA,9,1,ごみがついている,,260825_p50_dnaハイブリ.md,view
260825,DNA,9,6,大きめのごみがありそう,左上,260825_p50_dnaハイブリ.md,view
260825,DNA,9,8,ちょっとごみ,左下,260825_p50_dnaハイブリ.md,view
260826,SAM,1,2,ゴミ混入＋軽い染み,,260826_実験ログ.md,view
260826,SAM,3,ALL,表面荒れのため保留（欠番扱い）,,260826_実験ログ.md,sample
260826,SAM,4,1,ゴミ多数,,260826_実験ログ.md,view
260826,SAM,4,2,ゴミ多数,,260826_実験ログ.md,view
260826,SAM,4,3,ゴミ多い,,260826_実験ログ.md,view
260826,SAM,4,4,ゴミ多い,,260826_実験ログ.md,view
260826,SAM,4,5,ちょっとシミ,,260826_実験ログ.md,view
260826,SAM,4,6,めっちゃシミ,,260826_実験ログ.md,view
260826,SAM,5,5,大きめのシミ＋構造欠陥一部,,260826_実験ログ.md,view
260826,SAM,5,6,ちょっと傷とゴミ,,260826_実験ログ.md,view
260826,SAM,5,7,一部ゴミ,,260826_実験ログ.md,view
260826,SAM,6,1,結構ゴミが付いている,,260826_実験ログ.md,view
260826,SAM,6,2,ゴミ1個,,260826_実験ログ.md,view
260826,SAM,6,3,ゴミ2個,,260826_実験ログ.md,view
260826,SAM,6,4,めっちゃゴミ,,260826_実験ログ.md,view
260826,SAM,6,5,ゴミ2個,,260826_実験ログ.md,view
260826,SAM,6,6,ゴミ1個,,260826_実験ログ.md,view
260826,SAM,6,7,シミあり（訂正版）,,260826_実験ログ.md,view
260826,SAM,6,8,ゴミ2個,,260826_実験ログ.md,view
260826,SAM,7,3,ゴミ4個,,260826_実験ログ.md,view
260826,SAM,7,7,3箇所・構造異常,,260826_実験ログ.md,view
260826,SAM,8,1,3箇所ゴミ,,260826_実験ログ.md,view
260826,SAM,9,1,ゴミ2個（うち1つは大きい）,,260826_実験ログ.md,view
260826,SAM,9,2,ゴミ1個,,260826_実験ログ.md,view
260826,SAM,9,3,ゴミ2個,,260826_実験ログ.md,view
260826,SAM,9,4,ゴミ1個,,260826_実験ログ.md,view
260826,SAM,9,5,ゴミ1個,,260826_実験ログ.md,view
260826,SAM,9,6,シミ1つ,,260826_実験ログ.md,view
260826,SAM,9,8,ゴミ1個＋シミ2個,,260826_実験ログ.md,view
260826,SAM,10,1,小さいシミ＋小さいゴミ,,260826_実験ログ.md,view
260826,SAM,10,3,小さいシミがまばらにいくつかある,,260826_実験ログ.md,view
260826,SAM,10,5,大きめのゴミが1個,,260826_実験ログ.md,view
260826,SAM,10,7,ゴミ1個,,260826_実験ログ.md,view
260826,SAM,11,1,まだらに小さいシミ,,260826_実験ログ.md,view
260826,SAM,11,3,まだらに小さいゴミ,,260826_実験ログ.md,view
