dataset,group,sample,position,status,delta_mean,valid_grid_points,grid_points,pre_peak_points,post_peak_points,icp_iterations,icp_converged,error
260824_SAM,high,1,1,ok,-0.0017331855035140268,85793.0,85793.0,79799.0,79706.0,34.0,True,
260824_SAM,high,1,2,ok,0.00035738546885757575,85794.0,85794.0,78596.0,79336.0,29.0,True,
260824_SAM,high,1,3,ok,-0.0014005709687231916,85795.0,85795.0,78909.0,78682.0,20.0,True,
260824_SAM,high,1,4,ok,0.00025149865600360957,85795.0,85795.0,77013.0,78876.0,64.0,True,
260824_SAM,high,1,5,ok,-0.00016312523114004975,85793.0,85793.0,83027.0,83037.0,26.0,True,
260824_SAM,high,1,6,ok,-0.00010766060845178144,85271.0,85788.0,79812.0,79542.0,8.0,True,
260824_SAM,high,1,7,ok,0.00031760464221365756,85174.0,85793.0,78748.0,79667.0,28.0,True,
260824_SAM,high,1,8,ok,-6.497537252023237e-05,85793.0,85793.0,82961.0,82946.0,25.0,True,
260824_SAM,blank,14,2,ok,2.168407239379663e-05,79146.0,85799.0,78958.0,79062.0,40.0,True,
260824_SAM,blank,14,3,ok,6.834257666874165e-05,83915.0,85788.0,80437.0,80838.0,17.0,True,
260824_SAM,blank,14,4,ok,0.00038713179789610696,84673.0,85791.0,78108.0,78912.0,22.0,True,
260824_SAM,blank,14,5,ok,-4.5782864213278823e-05,85792.0,85792.0,76475.0,76836.0,37.0,True,
260824_SAM,blank,14,7,ok,-0.001073176661027157,85793.0,85793.0,78266.0,77698.0,17.0,True,
260824_SAM,blank,14,8,failed,,,,,,,,ICP did not converge.
260825_DNA,high,1,1,ok,-0.0003224869590216728,85793.0,85793.0,81533.0,82693.0,21.0,True,
260825_DNA,high,1,2,ok,0.0023739906587338547,80176.0,85794.0,80639.0,82666.0,45.0,True,
260825_DNA,high,1,3,ok,0.00023293085638554829,79960.0,85793.0,83182.0,84456.0,80.0,True,
260825_DNA,high,1,4,ok,0.0002679432329264251,85792.0,85792.0,79067.0,81051.0,28.0,True,
260825_DNA,high,1,5,ok,-2.5803879622110214e-06,85378.0,85792.0,79488.0,79213.0,68.0,True,
260825_DNA,high,1,6,ok,0.0005731492178718501,79959.0,85794.0,79714.0,80257.0,77.0,True,
260825_DNA,high,1,7,ok,-0.0006758398368100231,85787.0,85787.0,80443.0,81464.0,60.0,True,
260825_DNA,high,1,8,ok,0.0006086577363078203,77358.0,85795.0,80521.0,79638.0,39.0,True,
260825_DNA,blank,0,1,ok,6.347219703694682e-07,85791.0,85791.0,82889.0,82915.0,8.0,True,
260825_DNA,blank,0,2,ok,-0.00019585553198107268,85794.0,85794.0,82598.0,82299.0,11.0,True,
260825_DNA,blank,0,3,ok,-0.0002394284957419896,81953.0,85794.0,83172.0,81460.0,12.0,True,
260825_DNA,blank,0,4,ok,2.6403280225120135e-05,85794.0,85794.0,82779.0,82677.0,11.0,True,
260825_DNA,blank,0,5,ok,-0.003575837151800342,85791.0,85791.0,80356.0,80639.0,8.0,True,
260825_DNA,blank,0,6,ok,0.0005019183120107497,83087.0,85792.0,81093.0,82193.0,13.0,True,
260825_DNA,blank,0,8,ok,0.0033582668458348327,85326.0,85794.0,82231.0,81299.0,46.0,True,
260826_SAM,high,1,1,ok,0.00010674161982597731,85793.0,85793.0,83011.0,83353.0,12.0,True,
260826_SAM,high,1,3,ok,-0.0005181977255029971,75464.0,85792.0,81462.0,80858.0,17.0,True,
260826_SAM,high,1,4,ok,-0.00022262152961925638,81396.0,85790.0,82834.0,83128.0,25.0,True,
260826_SAM,high,1,5,ok,-8.288204931879064e-05,85791.0,85791.0,81363.0,81585.0,17.0,True,
260826_SAM,high,1,6,ok,-0.00045712734214396983,83527.0,85799.0,79155.0,80357.0,15.0,True,
260826_SAM,high,1,7,ok,-0.00013762666347270181,85793.0,85793.0,80619.0,80452.0,15.0,True,
260826_SAM,high,1,8,ok,-0.005733459563679552,85793.0,85793.0,81799.0,81882.0,20.0,True,
260826_SAM,blank,9,7,ok,-0.0014899516299319178,78604.0,85790.0,82977.0,82403.0,11.0,True,
260828_DNA,high,1,1,ok,5.555647149561685e-05,85797.0,85797.0,74754.0,74515.0,87.0,True,
260828_DNA,high,1,2,ok,0.00018519688570768845,85793.0,85793.0,73346.0,72853.0,45.0,True,
260828_DNA,high,1,3,ok,0.0007909353490265121,79708.0,85795.0,74289.0,73346.0,66.0,True,
260828_DNA,high,1,4,ok,-0.00014522781190770594,85794.0,85794.0,75895.0,74871.0,62.0,True,
260828_DNA,high,1,5,ok,0.000996875076102081,85792.0,85792.0,74278.0,72992.0,83.0,True,
260828_DNA,high,1,6,ok,7.338524170435879e-05,85793.0,85793.0,73868.0,73871.0,52.0,True,
260828_DNA,high,1,7,ok,-0.0008803523293849972,82870.0,85792.0,75074.0,74843.0,44.0,True,
260828_DNA,high,1,8,ok,-0.0004131084756467692,81739.0,85790.0,75427.0,74935.0,76.0,True,
260828_DNA,blank,8,1,ok,0.00011261865893323537,85796.0,85796.0,83654.0,84864.0,41.0,True,
260828_DNA,blank,8,2,ok,-0.0002483344170903574,81151.0,85792.0,84889.0,84637.0,17.0,True,
260828_DNA,blank,8,4,ok,0.0008529401346779855,84408.0,85789.0,84189.0,83966.0,43.0,True,
260828_DNA,blank,8,5,ok,-0.00012214487892286404,85793.0,85793.0,82647.0,81762.0,13.0,True,
260828_DNA,blank,8,6,ok,-0.0004882516220894891,84924.0,85789.0,83553.0,83350.0,16.0,True,
260828_DNA,blank,8,7,ok,-0.00017747087141249733,84884.0,85792.0,82759.0,82340.0,21.0,True,
260828_DNA,blank,8,8,ok,0.00026002484396279725,78122.0,85798.0,82682.0,82221.0,10.0,True,
260828_SAM,high,1,1,ok,2.4308216734103238e-05,85792.0,85792.0,77512.0,78360.0,47.0,True,
260828_SAM,high,1,2,failed,,,,,,,,ICP did not converge.
260828_SAM,high,1,3,ok,0.0005664565933807762,82596.0,85788.0,72810.0,72901.0,33.0,True,
260828_SAM,high,1,4,ok,0.00017715605073288096,83913.0,85788.0,76790.0,76967.0,28.0,True,
260828_SAM,high,1,6,ok,-0.0010864755211179291,82762.0,85792.0,73358.0,72354.0,11.0,True,
260828_SAM,blank,8,1,ok,0.00013493321688447292,85793.0,85793.0,84915.0,85110.0,6.0,True,
260828_SAM,blank,8,2,ok,-0.00031040790423067234,85792.0,85792.0,83990.0,84490.0,11.0,True,
260828_SAM,blank,8,3,ok,-0.00016301977574045446,78572.0,85794.0,83894.0,84091.0,10.0,True,
260828_SAM,blank,8,4,ok,-0.0024358351348884406,81386.0,85794.0,84538.0,84845.0,11.0,True,
260828_SAM,blank,8,5,ok,-0.0024547947570529595,85793.0,85793.0,84348.0,84384.0,7.0,True,
