sample,position,pre_mean,post_mean,diff_pre_minus_post
11,1,38274.137566,38756.449482,-482.311916
11,2,38243.062033,38610.494116,-367.432083
11,3,38176.912339,38635.451820,-458.539482
11,4,38261.260340,38836.068487,-574.808147
11,5,37632.000227,38223.455933,-591.455705
11,6,37810.565032,38346.740699,-536.175667
11,8,37721.303134,38276.320080,-555.016946
12,1,35252.942887,35677.965270,-425.022383
12,2,35377.657523,35673.237892,-295.580369
12,3,35264.885878,35651.881899,-386.996022
12,4,35502.692938,35644.456220,-141.763282
12,5,35651.038445,35977.070065,-326.031620
12,6,35610.607075,36037.710928,-427.103853
12,7,35630.645779,35975.531009,-344.885230
12,8,35642.802118,35967.265519,-324.463401
