rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-4,297,215,320320.000000,297336.781250,7.175078869,-1.177327394,8.352406502,340282346638528859811704183484516925440.000000,False,False
2,1-4,1951,1803,306168.031250,284614.343750,7.039818287,-1.177327394,8.217145920,340282346638528859811704183484516925440.000000,False,False
3,1-4,1932,1546,331868.000000,308736.625000,6.970050335,-1.177327394,8.147377968,340282346638528859811704183484516925440.000000,False,False
4,1-4,1932,1538,340469.000000,317375.906250,6.782727718,-1.177327394,7.960055351,340282346638528859811704183484516925440.000000,False,False
5,1-4,1931,1618,335703.000000,313452.687500,6.627976894,-1.177327394,7.805304527,340282346638528859811704183484516925440.000000,False,False
6,1-4,1012,191,314224.031250,293922.312500,6.460896969,-1.177327394,7.638224602,340282346638528859811704183484516925440.000000,False,False
7,1-4,1932,1930,351331.000000,328724.843750,6.434431553,-1.177327394,7.611759186,340282346638528859811704183484516925440.000000,False,False
8,1-4,1930,1043,296932.031250,277843.312500,6.428645611,-1.177327394,7.605973244,340282346638528859811704183484516925440.000000,False,False
9,1-4,1930,987,297120.000000,278106.875000,6.399136543,-1.177327394,7.576463699,340282346638528859811704183484516925440.000000,False,False
10,1-4,810,199,319307.968750,298989.468750,6.363293648,-1.177327394,7.540620804,340282346638528859811704183484516925440.000000,False,False
11,1-4,1930,1051,299206.031250,280297.437500,6.319587708,-1.177327394,7.496914864,340282346638528859811704183484516925440.000000,False,False
12,1-4,1056,190,308923.000000,289519.187500,6.281121254,-1.177327394,7.458448410,340282346638528859811704183484516925440.000000,False,False
13,1-4,1929,1268,312349.968750,292745.375000,6.276487350,-1.177327394,7.453814507,340282346638528859811704183484516925440.000000,False,False
14,1-4,1951,1325,307910.031250,288589.875000,6.274607182,-1.177327394,7.451934814,340282346638528859811704183484516925440.000000,False,False
15,1-4,1929,1084,300447.968750,281712.562500,6.235822201,-1.177327394,7.413149834,340282346638528859811704183484516925440.000000,False,False
16,1-4,987,194,315669.000000,296059.875000,6.211920261,-1.177327394,7.389247894,340282346638528859811704183484516925440.000000,False,False
17,1-4,1931,1626,342309.000000,321219.093750,6.161069870,-1.177327394,7.338397026,340282346638528859811704183484516925440.000000,False,False
18,1-4,1929,980,300445.000000,282368.562500,6.016556263,-1.177327394,7.193883896,340282346638528859811704183484516925440.000000,False,False
19,1-4,709,202,316568.000000,297529.500000,6.014038086,-1.177327394,7.191365242,340282346638528859811704183484516925440.000000,False,False
20,1-4,1931,1491,321403.000000,302074.218750,6.013882637,-1.177327394,7.191209793,340282346638528859811704183484516925440.000000,False,False
21,1-4,1931,1290,306673.000000,288421.125000,5.951576233,-1.177327394,7.128903389,340282346638528859811704183484516925440.000000,False,False
22,1-4,1930,1499,326808.000000,307601.875000,5.876889229,-1.177327394,7.054216385,340282346638528859811704183484516925440.000000,False,False
23,1-4,1932,1442,315462.000000,296926.968750,5.875518799,-1.177327394,7.052845955,340282346638528859811704183484516925440.000000,False,False
24,1-4,1928,1253,320574.000000,301868.093750,5.835137367,-1.177327394,7.012464523,340282346638528859811704183484516925440.000000,False,False
25,1-4,1953,1452,329835.968750,310653.812500,5.815661907,-1.177327394,6.992989540,340282346638528859811704183484516925440.000000,False,False
26,1-4,1145,187,310543.000000,292574.843750,5.786046982,-1.177327394,6.963374138,340282346638528859811704183484516925440.000000,False,False
27,1-4,1930,1091,295380.000000,278451.312500,5.731153011,-1.177327394,6.908480644,340282346638528859811704183484516925440.000000,False,False
28,1-4,1930,1076,295365.000000,278519.281250,5.703354359,-1.177327394,6.880681992,340282346638528859811704183484516925440.000000,False,False
29,1-4,1952,990,294841.000000,278135.312500,5.665997028,-1.177327394,6.843324661,340282346638528859811704183484516925440.000000,False,False
30,1-4,1932,1730,335423.000000,316514.343750,5.637254715,-1.177327394,6.814581871,340282346638528859811704183484516925440.000000,False,False
31,1-4,721,201,317999.000000,300204.875000,5.595647812,-1.177327394,6.772974968,340282346638528859811704183484516925440.000000,False,False
32,1-4,1955,1978,337275.031250,318445.093750,5.582969666,-1.177327394,6.760296822,340282346638528859811704183484516925440.000000,False,False
33,1-4,1952,1906,304736.000000,287764.781250,5.569151402,-1.177327394,6.746479034,340282346638528859811704183484516925440.000000,False,False
34,1-4,1952,1150,309237.031250,292240.500000,5.496276379,-1.177327394,6.673604012,340282346638528859811704183484516925440.000000,False,False
35,1-4,1931,1514,329375.000000,311314.906250,5.483141899,-1.177327394,6.660469055,340282346638528859811704183484516925440.000000,False,False
36,1-4,494,158,330496.000000,312440.062500,5.463277340,-1.177327394,6.640604973,340282346638528859811704183484516925440.000000,False,False
37,1-4,854,198,309334.000000,292478.156250,5.449073315,-1.177327394,6.626400948,340282346638528859811704183484516925440.000000,False,False
38,1-4,1953,1509,327889.000000,310173.250000,5.402975082,-1.177327394,6.580302238,340282346638528859811704183484516925440.000000,False,False
39,1-4,797,200,310882.000000,294227.656250,5.357125759,-1.177327394,6.534453392,340282346638528859811704183484516925440.000000,False,False
40,1-4,1930,875,292868.000000,277366.937500,5.292854309,-1.177327394,6.470181465,340282346638528859811704183484516925440.000000,False,False
41,1-4,999,193,312997.000000,296512.031250,5.266813278,-1.177327394,6.444140434,340282346638528859811704183484516925440.000000,False,False
42,1-4,1932,1241,295688.031250,280223.156250,5.230126381,-1.177327394,6.407453537,340282346638528859811704183484516925440.000000,False,False
43,1-4,1416,175,319991.000000,303261.375000,5.228153229,-1.177327394,6.405480385,340282346638528859811704183484516925440.000000,False,False
44,1-4,384,1319,311100.000000,294970.468750,5.184678555,-1.177327394,6.362006187,340282346638528859811704183484516925440.000000,False,False
45,1-4,1932,1353,301503.031250,285929.125000,5.165416718,-1.177327394,6.342743874,340282346638528859811704183484516925440.000000,False,False
46,1-4,1334,181,315254.000000,299083.906250,5.129228115,-1.177327394,6.306555748,340282346638528859811704183484516925440.000000,False,False
47,1-4,753,202,316167.031250,300024.312500,5.105757713,-1.177327394,6.283084869,340282346638528859811704183484516925440.000000,False,False
48,1-4,342,213,318981.968750,302708.125000,5.101807117,-1.177327394,6.279134750,340282346638528859811704183484516925440.000000,False,False
49,1-4,898,196,314151.000000,298177.156250,5.084758282,-1.177327394,6.262085915,340282346638528859811704183484516925440.000000,False,False
50,1-4,1101,188,308291.000000,292692.250000,5.059752464,-1.177327394,6.237079620,340282346638528859811704183484516925440.000000,False,False
51,1-4,1955,1866,334244.000000,317355.718750,5.052678108,-1.177327394,6.230005264,340282346638528859811704183484516925440.000000,False,False
52,1-4,1952,749,296593.000000,281698.000000,5.022030830,-1.177327394,6.199357986,340282346638528859811704183484516925440.000000,False,False
53,1-4,450,213,311381.031250,295861.812500,4.984000206,-1.177327394,6.161327362,340282346638528859811704183484516925440.000000,False,False
54,1-4,64,222,320794.000000,304809.406250,4.982823372,-1.177327394,6.160150528,340282346638528859811704183484516925440.000000,False,False
55,1-4,785,201,308829.000000,293621.437500,4.924272060,-1.177327394,6.101599693,340282346638528859811704183484516925440.000000,False,False
56,1-4,285,216,307991.000000,292860.218750,4.912731171,-1.177327394,6.090058327,340282346638528859811704183484516925440.000000,False,False
57,1-4,253,216,317066.031250,301502.125000,4.908730984,-1.177327394,6.086058617,340282346638528859811704183484516925440.000000,False,False
58,1-4,1744,168,323986.000000,308096.562500,4.904361725,-1.177327394,6.081688881,340282346638528859811704183484516925440.000000,False,False
59,1-4,1113,187,314951.968750,299531.187500,4.896237373,-1.177327394,6.073564529,340282346638528859811704183484516925440.000000,False,False
60,1-4,196,219,318999.968750,303429.125000,4.881146431,-1.177327394,6.058473587,340282346638528859811704183484516925440.000000,False,False
61,1-4,911,195,317594.968750,302135.468750,4.867672443,-1.177327394,6.045000076,340282346638528859811704183484516925440.000000,False,False
62,1-4,1953,1333,321076.000000,305448.406250,4.867260456,-1.177327394,6.044588089,340282346638528859811704183484516925440.000000,False,False
63,1-4,386,213,317890.000000,302464.812500,4.852361202,-1.177327394,6.029688835,340282346638528859811704183484516925440.000000,False,False
64,1-4,1930,1435,327998.000000,312239.531250,4.804443359,-1.177327394,5.981770515,340282346638528859811704183484516925440.000000,False,False
65,1-4,639,207,310677.968750,295787.031250,4.793053150,-1.177327394,5.970380783,340282346638528859811704183484516925440.000000,False,False
66,1-4,1932,1457,310579.968750,295696.656250,4.792110443,-1.177327394,5.969437599,340282346638528859811704183484516925440.000000,False,False
67,1-4,968,192,315760.000000,300667.000000,4.779892445,-1.177327394,5.957220078,340282346638528859811704183484516925440.000000,False,False
68,1-4,1956,1754,338837.031250,322683.531250,4.767328262,-1.177327394,5.944655418,340282346638528859811704183484516925440.000000,False,False
69,1-4,1931,1338,303139.000000,288709.718750,4.759954929,-1.177327394,5.937282562,340282346638528859811704183484516925440.000000,False,False
70,1-4,1953,1263,316764.968750,301742.437500,4.742491722,-1.177327394,5.919818878,340282346638528859811704183484516925440.000000,False,False
