dataset,group,sample,position,pre_file,post_file,status,exclusion_reason,threshold_blank_mean_minus_3sd,valid_grid_points,delta_mean,threshold_exceedance_count,threshold_exceedance_rate,icp_iterations,icp_converged
260827_DNA_Sample12_vs_Blank11,blank,11,1,11-1-0.tif,11-1-1.tif,ok,,-0.4401158833745688,85792.0,0.0003183885814093334,4.0,4.6624393882879525e-05,40.0,True
260827_DNA_Sample12_vs_Blank11,blank,11,2,11-2-0.tif,11-2-1.tif,ok,,-0.4401158833745688,85790.0,0.0004876081468842499,1037.0,0.01208765590395151,35.0,True
260827_DNA_Sample12_vs_Blank11,blank,11,3,11-3-0.tif,11-3-1.tif,ok,,-0.4401158833745688,82857.0,-0.0012361145847379533,1418.0,0.017113822610038982,24.0,True
260827_DNA_Sample12_vs_Blank11,blank,11,4,11-4-0.tif,11-4-1.tif,ok,,-0.4401158833745688,85795.0,-0.0006200773175887222,1017.0,0.011853837636225887,42.0,True
260827_DNA_Sample12_vs_Blank11,blank,11,5,11-5-0.tif,11-5-1.tif,ok,,-0.4401158833745688,85791.0,5.999201973255695e-05,6.0,6.993740602161065e-05,36.0,True
260827_DNA_Sample12_vs_Blank11,blank,11,6,11-6-0.tif,11-6-1.tif,ok,,-0.4401158833745688,85794.0,0.0011440001388700713,1244.0,0.014499848474252279,53.0,True
260827_DNA_Sample12_vs_Blank11,blank,11,7,11-7-0.tif,11-7-1.tif,excluded_pre_analysis,Primary log: position 7 stain (要確認); pre-specified defect exclusion,-0.4401158833745688,,,,,,
260827_DNA_Sample12_vs_Blank11,blank,11,8,11-8-0.tif,11-8-1.tif,ok,,-0.4401158833745688,85790.0,-0.001799733812248447,906.0,0.010560671406923884,46.0,True
260827_DNA_Sample12_vs_Blank11,high,12,1,12-1-0.tif,12-1-1.tif,ok,,-0.4401158833745688,85791.0,-0.0002146891936852784,31.0,0.0003613432644449884,29.0,True
260827_DNA_Sample12_vs_Blank11,high,12,2,12-2-0.tif,12-2-1.tif,ok,,-0.4401158833745688,85792.0,-0.00011478190882432287,141.0,0.0016435098843715031,27.0,True
260827_DNA_Sample12_vs_Blank11,high,12,3,12-3-0.tif,12-3-1.tif,failed,ICP did not converge.,-0.4401158833745688,,,,,,
260827_DNA_Sample12_vs_Blank11,high,12,4,12-4-0.tif,12-4-1.tif,ok,,-0.4401158833745688,85384.0,-0.0021603672340153464,729.0,0.008537899372247727,38.0,True
260827_DNA_Sample12_vs_Blank11,high,12,5,12-5-0.tif,12-5-1.tif,failed,ICP did not converge.,-0.4401158833745688,,,,,,
260827_DNA_Sample12_vs_Blank11,high,12,6,12-6-0.tif,12-6-1.tif,ok,,-0.4401158833745688,82938.0,-0.00039636661277709273,1467.0,0.017687911451927947,71.0,True
260827_DNA_Sample12_vs_Blank11,high,12,7,12-7-0.tif,12-7-1.tif,ok,,-0.4401158833745688,76834.0,0.00029522600087561707,1147.0,0.01492828695629539,72.0,True
260827_DNA_Sample12_vs_Blank11,high,12,8,12-8-0.tif,12-8-1.tif,ok,,-0.4401158833745688,83206.0,0.0007768471209535209,917.0,0.011020839843280533,89.0,True
